case_number,gender,day,time_of_day,Offence,City
5722cc3afc13ae3fa40010ec,Male,Saturday,Night,Assault,Placentia
5722cc3afc13ae3fa40010ed,Female,Saturday,Evening,Kidnap,Costa Mesa
5722cc3afc13ae3fa40010ee,Female,Saturday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa40010ef,Female,Sunday,Evening,Theft,Placentia
5722cc3afc13ae3fa40010f0,Male,Sunday,Night,Assault,Placentia
5722cc3afc13ae3fa40010f1,Female,Saturday,Evening,Theft,Placentia
5722cc3afc13ae3fa40010f2,Male,Saturday,Night,Theft,Costa Mesa
5722cc3afc13ae3fa40010f3,Female,Sunday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa40010f4,Female,Friday,Evening,Kidnap,Santa Ana
5722cc3afc13ae3fa40010f5,Male,Saturday,Night,Kidnap,Placentia
5722cc3afc13ae3fa40010f6,Male,Sunday,Night,Assault,Costa Mesa
5722cc3afc13ae3fa40010f7,Female,Saturday,Night,Kidnap,Costa Mesa
5722cc3afc13ae3fa40010f8,Female,Friday,Night,Kidnap,Costa Mesa
5722cc3afc13ae3fa40010f9,Female,Saturday,Night,Assault,Santa Ana
5722cc3afc13ae3fa40010fa,Male,Friday,Evening,Theft,Costa Mesa
5722cc3afc13ae3fa40010fb,Female,Saturday,Night,Theft,Santa Ana
5722cc3afc13ae3fa40010fc,Male,Sunday,Night,Assault,Costa Mesa
5722cc3afc13ae3fa40010fd,Male,Sunday,Night,Kidnap,Santa Ana
5722cc3afc13ae3fa40010fe,Female,Friday,Evening,Kidnap,Costa Mesa
5722cc3afc13ae3fa40010ff,Male,Sunday,Evening,Assault,Costa Mesa
5722cc3afc13ae3fa4001100,Male,Saturday,Night,Assault,Santa Ana
5722cc3afc13ae3fa4001101,Male,Friday,Night,Theft,Placentia
5722cc3afc13ae3fa4001102,Male,Friday,Evening,Theft,Costa Mesa
5722cc3afc13ae3fa4001103,Male,Sunday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa4001104,Male,Friday,Evening,Theft,Costa Mesa
5722cc3afc13ae3fa4001105,Male,Sunday,Evening,Theft,Placentia
5722cc3afc13ae3fa4001106,Female,Saturday,Evening,Kidnap,Santa Ana
5722cc3afc13ae3fa4001107,Male,Sunday,Evening,Kidnap,Placentia
5722cc3afc13ae3fa4001108,Female,Saturday,Evening,Assault,Costa Mesa
5722cc3afc13ae3fa4001109,Male,Saturday,Evening,Assault,Placentia
5722cc3afc13ae3fa400110a,Female,Saturday,Evening,Kidnap,Costa Mesa
5722cc3afc13ae3fa400110b,Male,Saturday,Evening,Kidnap,Santa Ana
5722cc3afc13ae3fa400110c,Female,Sunday,Night,Theft,Santa Ana
5722cc3afc13ae3fa400110d,Male,Sunday,Evening,Assault,Costa Mesa
5722cc3afc13ae3fa400110e,Female,Friday,Evening,Theft,Placentia
5722cc3afc13ae3fa400110f,Female,Sunday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa4001110,Male,Sunday,Night,Theft,Placentia
5722cc3afc13ae3fa4001111,Female,Sunday,Night,Kidnap,Placentia
5722cc3afc13ae3fa4001112,Male,Saturday,Night,Assault,Santa Ana
5722cc3afc13ae3fa4001113,Male,Friday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa4001114,Female,Sunday,Evening,Assault,Placentia
5722cc3afc13ae3fa4001115,Male,Saturday,Night,Kidnap,Santa Ana
5722cc3afc13ae3fa4001116,Female,Friday,Night,Kidnap,Santa Ana
5722cc3afc13ae3fa4001117,Male,Friday,Evening,Assault,Costa Mesa
5722cc3afc13ae3fa4001118,Male,Sunday,Night,Kidnap,Placentia
5722cc3afc13ae3fa4001119,Male,Friday,Evening,Assault,Santa Ana
5722cc3afc13ae3fa400111a,Male,Friday,Night,Assault,Placentia
5722cc3afc13ae3fa400111b,Female,Friday,Night,Kidnap,Placentia
5722cc3afc13ae3fa400111c,Male,Sunday,Evening,Assault,Placentia
5722cc3afc13ae3fa400111d,Female,Friday,Night,Kidnap,Placentia
5722cc3afc13ae3fa400111e,Male,Sunday,Evening,Kidnap,Santa Ana
5722cc3afc13ae3fa400111f,Male,Friday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa4001120,Female,Sunday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa4001121,Female,Friday,Evening,Assault,Santa Ana
5722cc3afc13ae3fa4001122,Female,Friday,Night,Theft,Placentia
5722cc3afc13ae3fa4001123,Male,Sunday,Evening,Theft,Placentia
5722cc3afc13ae3fa4001124,Male,Saturday,Evening,Theft,Costa Mesa
5722cc3afc13ae3fa4001125,Female,Friday,Evening,Assault,Santa Ana
5722cc3afc13ae3fa4001126,Male,Saturday,Evening,Kidnap,Santa Ana
5722cc3afc13ae3fa4001127,Female,Friday,Night,Kidnap,Placentia
5722cc3afc13ae3fa4001128,Female,Sunday,Evening,Assault,Costa Mesa
5722cc3afc13ae3fa4001129,Female,Friday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa400112a,Female,Saturday,Night,Kidnap,Santa Ana
5722cc3afc13ae3fa400112b,Female,Saturday,Evening,Kidnap,Santa Ana
5722cc3afc13ae3fa400112c,Male,Sunday,Evening,Theft,Placentia
5722cc3afc13ae3fa400112d,Male,Saturday,Evening,Kidnap,Santa Ana
5722cc3afc13ae3fa400112e,Female,Saturday,Night,Assault,Santa Ana
5722cc3afc13ae3fa400112f,Female,Sunday,Evening,Assault,Costa Mesa
5722cc3afc13ae3fa4001130,Female,Sunday,Night,Assault,Placentia
5722cc3afc13ae3fa4001131,Male,Saturday,Evening,Theft,Placentia
5722cc3afc13ae3fa4001132,Female,Saturday,Evening,Theft,Costa Mesa
5722cc3afc13ae3fa4001133,Female,Friday,Evening,Theft,Costa Mesa
5722cc3afc13ae3fa4001134,Female,Friday,Night,Theft,Santa Ana
5722cc3afc13ae3fa4001135,Male,Saturday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa4001136,Male,Friday,Night,Kidnap,Costa Mesa
5722cc3afc13ae3fa4001137,Female,Friday,Night,Kidnap,Costa Mesa
5722cc3afc13ae3fa4001138,Male,Saturday,Night,Theft,Costa Mesa
5722cc3afc13ae3fa4001139,Female,Friday,Evening,Kidnap,Costa Mesa
5722cc3afc13ae3fa400113a,Male,Saturday,Evening,Assault,Placentia
5722cc3afc13ae3fa400113b,Male,Friday,Evening,Kidnap,Santa Ana
5722cc3afc13ae3fa400113c,Female,Friday,Night,Assault,Santa Ana
5722cc3afc13ae3fa400113d,Female,Friday,Night,Kidnap,Placentia
5722cc3afc13ae3fa400113e,Male,Saturday,Night,Kidnap,Santa Ana
5722cc3afc13ae3fa400113f,Male,Sunday,Night,Theft,Santa Ana
5722cc3afc13ae3fa4001140,Male,Sunday,Night,Kidnap,Costa Mesa
5722cc3afc13ae3fa4001141,Male,Saturday,Night,Theft,Santa Ana
5722cc3afc13ae3fa4001142,Male,Saturday,Night,Assault,Santa Ana
5722cc3afc13ae3fa4001143,Male,Sunday,Evening,Assault,Costa Mesa
5722cc3afc13ae3fa4001144,Female,Saturday,Night,Theft,Costa Mesa
5722cc3afc13ae3fa4001145,Male,Saturday,Night,Kidnap,Costa Mesa
5722cc3afc13ae3fa4001146,Male,Friday,Night,Kidnap,Placentia
5722cc3afc13ae3fa4001147,Female,Friday,Evening,Assault,Santa Ana
5722cc3afc13ae3fa4001148,Male,Friday,Evening,Assault,Costa Mesa
5722cc3afc13ae3fa4001149,Male,Friday,Night,Kidnap,Santa Ana
5722cc3afc13ae3fa400114a,Male,Sunday,Night,Assault,Santa Ana
5722cc3afc13ae3fa400114b,Female,Friday,Night,Theft,Costa Mesa
5722cc3afc13ae3fa400114c,Female,Saturday,Evening,Assault,Placentia
5722cc3afc13ae3fa400114d,Female,Friday,Night,Kidnap,Santa Ana
5722cc3afc13ae3fa400114e,Male,Sunday,Night,Kidnap,Santa Ana
5722cc3afc13ae3fa400114f,Male,Friday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa4001150,Male,Sunday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa4001151,Female,Friday,Night,Assault,Placentia
5722cc3afc13ae3fa4001152,Male,Friday,Night,Assault,Placentia
5722cc3afc13ae3fa4001153,Female,Sunday,Night,Theft,Placentia
5722cc3afc13ae3fa4001154,Male,Saturday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa4001155,Female,Sunday,Night,Theft,Santa Ana
5722cc3afc13ae3fa4001156,Male,Saturday,Night,Assault,Placentia
5722cc3afc13ae3fa4001157,Female,Saturday,Night,Kidnap,Costa Mesa
5722cc3afc13ae3fa4001158,Female,Friday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa4001159,Male,Saturday,Evening,Theft,Santa Ana
5722cc3afc13ae3fa400115a,Female,Friday,Night,Theft,Placentia
5722cc3afc13ae3fa400115b,Male,Saturday,Evening,Assault,Santa Ana
5722cc3afc13ae3fa400115c,Female,Friday,Night,Assault,Placentia
5722cc3afc13ae3fa400115d,Female,Sunday,Evening,Assault,Placentia
5722cc3afc13ae3fa400115e,Female,Saturday,Evening,Kidnap,Costa Mesa
5722cc3afc13ae3fa400115f,Male,Saturday,Evening,Assault,Placentia
5722cc3afc13ae3fa4001160,Male,Sunday,Night,Assault,Costa Mesa
5722cc3afc13ae3fa4001161,Male,Friday,Night,Theft,Placentia
5722cc3afc13ae3fa4001162,Male,Friday,Evening,Assault,Costa Mesa
5722cc3afc13ae3fa4001163,Female,Saturday,Evening,Kidnap,Placentia
5722cc3afc13ae3fa4001164,Male,Saturday,Night,Assault,Placentia
5722cc3afc13ae3fa4001165,Male,Saturday,Evening,Assault,Santa Ana
5722cc3afc13ae3fa4001166,Female,Friday,Night,Theft,Placentia
5722cc3afc13ae3fa4001167,Female,Friday,Night,Assault,Costa Mesa
5722cc3afc13ae3fa4001168,Male,Friday,Night,Theft,Santa Ana
5722cc3afc13ae3fa4001169,Female,Friday,Evening,Kidnap,Placentia
5722cc3afc13ae3fa400116a,Female,Sunday,Night,Assault,Costa Mesa
5722cc3afc13ae3fa400116b,Female,Sunday,Night,Theft,Costa Mesa
5722cc3afc13ae3fa400116c,Female,Sunday,Night,Kidnap,Costa Mesa
5722cc3afc13ae3fa400116d,Male,Friday,Evening,Assault,Santa Ana
5722cc3afc13ae3fa400116e,Male,Friday,Night,Assault,Santa Ana
5722cc3afc13ae3fa400116f,Male,Friday,Night,Kidnap,Placentia
5722cc3afc13ae3fa4001170,Male,Saturday,Evening,Theft,Costa Mesa
5722cc3afc13ae3fa4001171,Male,Sunday,Night,Kidnap,Placentia
5722cc3afc13ae3fa4001172,Female,Friday,Evening,Theft,Placentia
